,logFC,logCPM,LR,PValue,padjFilter,FDR
SLC25A38,0.324979655500555,7.97246816247178,8.77884166586023,0.00305059270188522,0.0111402098940663,0.0111402098940663
OSBPL9,0.272832545661346,8.21654880447455,8.75879165091214,0.00308431313128647,0.0112531206615602,0.0112531206615602
SLC25A39,0.324509813598771,7.98271753340467,8.75605356924939,0.00308893378286419,0.0112597522738344,0.0112597522738344
LUC7L2,0.248728438092227,8.27572778897655,8.74249296860535,0.00311198720116211,0.0113335018921742,0.0113335018921742
WWTR1,-0.232718850075654,8.54976379957543,8.7333414023658,0.00312765184522155,0.0113802332085643,0.0113802332085643
CCDC66,0.314956720629802,8.01672241831085,8.7304816760111,0.00313252820278971,0.0113876613489649,0.0113876613489649
YPEL5,0.203335780668188,8.58560252300287,8.72608809231019,0.00314010062575572,0.01140486818595,0.01140486818595
PXDC1,0.231275609731,8.67996673513082,8.72013464864244,0.00315039399025741,0.011431917487682,0.011431917487682
ETHE1,0.323212802348363,8.00462657055918,8.71656861329461,0.00315652777404681,0.0114438376068105,0.0114438376068105
FAM107B,0.270885655110723,8.50551166327946,8.7070743806737,0.00317304925890893,0.0114933623742445,0.0114933623742445
PTPN12,-0.300912470193169,8.10293833683947,8.70445510932382,0.00317758093728985,0.0114994077703543,0.0114994077703543
MYO1C,-0.231521053745673,8.33398559571794,8.69978483296995,0.0031857171342468,0.0115184750029427,0.0115184750029427
C19orf66,0.341701671642588,7.99623888571611,8.68702150497313,0.0032080935484344,0.011588949446098,0.011588949446098
ECHS1,0.207622281490797,8.41347596106449,8.63600438365734,0.00329912834540049,0.0119070966428336,0.0119070966428336
COPS8,0.263990150032267,8.16746129409065,8.62715357723005,0.00331520192004812,0.0119543681443746,0.0119543681443746
PDZRN3,-0.306571804742094,8.10508820093445,8.6161207073842,0.00333536275475148,0.0120162799872975,0.0120162799872975
YIPF3,0.267234614340642,8.15513209309991,8.60793004470838,0.00335035301658406,0.0120594695946399,0.0120594695946399
METRNL,-0.256601591496564,8.27275313120361,8.59377690343467,0.0033765020286418,0.0121427114136563,0.0121427114136563
CLN5,0.308069865458842,8.04439367865542,8.59130074738891,0.00338108687436216,0.0121483237695106,0.0121483237695106
PCMT1,-0.237193867140624,8.22805573202037,8.57475853743381,0.00341191395139104,0.0122481307799265,0.0122481307799265
RDH11,0.312587624394525,8.03261641443291,8.57153673742857,0.00341797920912275,0.0122589486455769,0.0122589486455769
BUB3,0.272610024946329,8.13869768916855,8.56620435947366,0.00342798547422736,0.0122838694468968,0.0122838694468968
ACTR3,-0.197838673676159,8.55274310682046,8.54596473902234,0.00346630040299921,0.0124100968973688,0.0124100968973688
NFKBIL1,0.307559613857658,8.0031335978842,8.53189443621613,0.00349317985364722,0.0124951945432777,0.0124951945432777
PNISR,-0.177184401233389,9.05102474734645,8.52207580110007,0.00351207603355506,0.0125483544978871,0.0125483544978871
SUB1,0.150093300382252,9.17816282866444,8.52092473917219,0.00351428897438959,0.0125483544978871,0.0125483544978871
TNFSF12,0.239618791317159,8.34544355121959,8.51657403610079,0.00352269834001134,0.0125672106854578,0.0125672106854578
IFI16,0.277973930539245,8.33774915298945,8.51099688927025,0.00353354184623448,0.0125947094909706,0.0125947094909706
SNRPD1,-0.227460808094256,8.27226943753033,8.49925526332345,0.00355636759906003,0.0126648303594186,0.0126648303594186
ZC3HAV1,0.382034053534807,8.24077863369667,8.4872018474706,0.00358009077589067,0.0127380200591256,0.0127380200591256
ARHGEF12,0.275873153378295,8.27062540604343,8.4808285586879,0.00359260945420135,0.0127712497146255,0.0127712497146255
USP12,0.334104735243529,8.02766231982346,8.46472504830581,0.00362453560972581,0.0128733506138537,0.0128733506138537
PDGFC,0.23417644348371,8.35825966181384,8.45969378650011,0.00363455127727265,0.0128975198593677,0.0128975198593677
INTS6,0.256795317760969,9.13215122307472,8.45607827345964,0.00364181049240787,0.0129118735639915,0.0129118735639915
TM2D3,0.276320966632108,8.08757770704534,8.44395682369395,0.00366609999610349,0.0129785641184303,0.0129785641184303
FAM213A,0.273466626791673,8.17041201351538,8.4434777452725,0.00366708246811511,0.0129785641184303,0.0129785641184303
ALDOC,-0.333624177253536,8.00932689070522,8.4317944924868,0.00369072818675246,0.0130507527519231,0.0130507527519231
