,logFC,logCPM,LR,PValue,padjFilter,FDR
MSRB3,0.189212428347763,12.2861357488679,1.60099039779357,0.205961555570264,0.34923915944523,0.34923915944523
MRFAP1,0.217469309435405,12.0440518263451,1.56336821744367,0.211359795985306,0.356455439715759,0.356455439715759
PARK7,0.213664261469455,12.1586277238,1.54958310146208,0.213390782559171,0.357945828808933,0.357945828808933
NAP1L1,-0.181704691658658,12.4671398754667,1.52610858165616,0.21688769654254,0.361866103322313,0.361866103322313
ANXA2,0.236723637709046,12.0185712969997,1.5162957652575,0.21836932888251,0.362400162826293,0.362400162826293
MT-CO1,0.146537608459955,13.3890228323683,1.49292706775378,0.22196523793705,0.366418805483384,0.366418805483384
SVIL,-0.226117836935567,12.180546702981,1.45996329146573,0.227129835333971,0.371111352601582,0.371111352601582
MORF4L1,0.196552891857708,12.1958652150974,1.45957318285326,0.227186757522123,0.371111352601582,0.371111352601582
HSP90AB1,0.148420911001184,12.8239410267264,1.4479562593599,0.229041084119055,0.372191761693464,0.372191761693464
RPL17,-0.208072025170186,12.2562385814976,1.41919903992545,0.233722956852471,0.375888788470063,0.375888788470063
CCND1,-0.222761075955664,12.5712200746406,1.40818538593726,0.235556337510574,0.375888788470063,0.375888788470063
EIF3H,-0.190218482982666,12.155661679922,1.40473487971963,0.236114075502115,0.375888788470063,0.375888788470063
RPS8,-0.109063473693821,13.3062705440314,1.40459973918371,0.236135264551706,0.375888788470063,0.375888788470063
GADD45A,0.21953720921725,12.1122172399091,1.39674644011762,0.23745526085325,0.376071276072152,0.376071276072152
RPL29,-0.147497266410727,12.6413317543886,1.35147100605116,0.245200820191532,0.386377049998778,0.386377049998778
GSTP1,0.234926693170388,12.1212790744016,1.32992536012421,0.249007949055089,0.390404422639134,0.390404422639134
TOMM20,0.1893823777009,12.166572288688,1.30211182727521,0.254014804735166,0.396263095386859,0.396263095386859
RPS4X,-0.0927539293071091,13.6726713170124,1.19093363081248,0.275310747599312,0.424472577488403,0.424472577488403
RPS10,-0.130283265149732,12.6458781900662,1.18822042294209,0.275858251388789,0.424472577488403,0.424472577488403
PABPC1,0.17808210315679,12.2221070651278,1.18663634410615,0.276179273173544,0.424472577488403,0.424472577488403
PTMA,-0.0981911212233564,14.0974583559409,1.12572946594275,0.288852019998265,0.441773677644405,0.441773677644405
LDHA,-0.185338152499092,12.2469717127025,1.09616417982778,0.295278667593205,0.449399728239415,0.449399728239415
C4orf3,0.174116557361845,12.1255356464556,1.08738105350659,0.297213864563872,0.449796405539844,0.449796405539844
MT-ND3,0.11239702255341,13.7568975367597,1.07635833078001,0.299688772492737,0.449796405539844,0.449796405539844
CHMP3,-0.177964495269028,12.152257595999,1.07551116239125,0.299864270359896,0.449796405539844,0.449796405539844
GAPDH,-0.142830726093314,12.4875112331785,1.06396554869053,0.302476635800858,0.451544068755348,0.451544068755348
CALU,-0.205455173329005,12.039513616567,1.04489100451508,0.306847982824115,0.455888431624399,0.455888431624399
HDLBP,0.185282330070894,12.0198089564115,1.01852672912474,0.313029796754715,0.462868704206024,0.462868704206024
FAU,-0.112999188099175,12.7543926098626,1.01142037771422,0.314720333925219,0.463173321625794,0.463173321625794
ARPC2,-0.171196526857107,12.1313748048837,0.98455050572386,0.321231894119569,0.470536858992045,0.470536858992045
H3F3B,0.180679067966026,12.0653605823701,0.928004037490382,0.335537655208809,0.487877175806227,0.487877175806227
PPP1R3C,0.18018983897202,12.1593850521199,0.925477081230667,0.336197412815189,0.487877175806227,0.487877175806227
CCNI,-0.11284636784059,12.8975031917061,0.910594999358409,0.340108893727468,0.489579288166934,0.489579288166934
SEC62,0.132471689584033,12.4580251463256,0.909086565221571,0.340508671577643,0.489579288166934,0.489579288166934
RPS25,-0.0977435498506144,12.8579671460099,0.902609255279458,0.342229801443033,0.48979678004691,0.48979678004691
KIF5B,-0.159833782450506,12.335640674506,0.863540054939335,0.352898889535101,0.502760061803432,0.502760061803432
COX4I1,0.136049928849354,12.2428087276954,0.841045097067479,0.359239928669029,0.509467535203351,0.509467535203351
CCND2,0.176047590299704,12.1809971955017,0.828057565538415,0.362985218139708,0.512449719726646,0.512449719726646
RPL18A,-0.100811059537832,12.9223543852461,0.808731772431429,0.368643379659977,0.518093398441048,0.518093398441048
KTN1,0.149288005792626,12.4210200186371,0.795005274767789,0.372738183583169,0.518484966958867,0.518484966958867
SYNPO,-0.131398853040601,12.5303091539818,0.794710372034501,0.37282260044933,0.518484966958867,0.518484966958867
RAB13,-0.143116349605264,12.3990681197789,0.791097045000754,0.373907428095337,0.518484966958867,0.518484966958867
MYL12A,-0.152524733778376,12.2144982916267,0.760087451114885,0.383439937073059,0.528196401893391,0.528196401893391
RHOA,-0.164945410845107,12.0466307752903,0.757336975823648,0.384296741121153,0.528196401893391,0.528196401893391
GNAS,0.117955992888097,12.5545772705495,0.73752189816355,0.390601286837459,0.534507024093365,0.534507024093365
RPL4,-0.101079101947851,12.8642763062179,0.711645014811097,0.399027472989101,0.543653150972051,0.543653150972051
RPSA,-0.131545642066844,12.259364705691,0.689524781342925,0.406455034701949,0.549733956261636,0.549733956261636
TPM2,-0.0888334981626899,14.1406179418165,0.687880105572162,0.407014563770634,0.549733956261636,0.549733956261636
UQCRH,0.155283642618757,12.0041487736209,0.673379285278656,0.412001667357628,0.551465418355124,0.551465418355124
SERBP1,-0.129400682751204,12.2343499435072,0.670466016149021,0.413022054202583,0.551465418355124,0.551465418355124
SARAF,-0.145052728560218,12.1392951949553,0.665362118861935,0.414800926095907,0.551465418355124,0.551465418355124
CIRBP,0.140339714520446,12.2089370651899,0.663787603631647,0.415366581132866,0.551465418355124,0.551465418355124
ITGBL1,-0.147125387049602,12.393141547345,0.652689644316013,0.419284199547336,0.55204099174821,0.55204099174821
PLS3,0.153484733048955,12.0542006722644,0.652519018699934,0.419338830270275,0.55204099174821,0.55204099174821
RPL22,-0.0767247221532023,13.0149396232299,0.636559599944121,0.425080484363344,0.55625360345868,0.55625360345868
HNRNPH3,-0.155819717299295,12.0150360069704,0.633749269302541,0.426104523162258,0.55625360345868,0.55625360345868
CRTAP,0.130452582219532,12.109578951133,0.607982240437764,0.435666639994542,0.566366631992905,0.566366631992905
KIF1C,0.146187223757681,12.0373685935608,0.587374540489293,0.443556253779482,0.57423050281825,0.57423050281825
MYL6,-0.0843205166424799,12.9880933609855,0.558663289593312,0.454913147484802,0.583601718472618,0.583601718472618
MT-CO3,0.0836977319313502,13.4582287919363,0.555767264761016,0.456093699541982,0.583601718472618,0.583601718472618
HINT1,-0.13110184492281,12.0745970935001,0.551340867485237,0.457886069927703,0.583601718472618,0.583601718472618
IGFBP7,0.142028908063151,12.6977408519601,0.550399881612634,0.45827699046728,0.583601718472618,0.583601718472618
C12orf57,0.133989994225302,12.0970047012589,0.530292859460303,0.466601357054065,0.590988998020004,0.590988998020004
